,text,summary
0,101,12
1,103,4
2,68,9
3,370,7
4,100,12
5,296,12
6,76,6
7,56,6
8,353,11
9,142,12
10,57,6
11,90,9
12,119,5
13,40,5
14,517,11
15,23,15
16,198,11
17,31,11
18,85,8
19,128,7
20,78,12
21,91,13
22,12,9
23,100,12
24,84,12
25,60,10
26,37,14
27,177,14
28,34,8
29,141,16
30,655,6
31,161,9
32,717,12
33,60,15
34,164,6
35,241,8
36,307,7
37,95,11
38,80,9
39,100,8
40,25,8
41,65,10
42,49,10
43,68,7
44,21,7
45,68,21
46,22,7
47,109,10
48,21,8
49,38,11
50,47,8
51,51,8
52,21,11
53,196,8
54,103,9
55,56,6
56,106,5
57,12,9
58,61,16
59,331,4
60,79,10
61,46,11
62,515,3
63,96,13
64,26,6
65,17,13
66,122,12
67,150,10
68,224,13
69,34,8
70,68,11
71,22,19
72,29,12
73,480,5
74,19,7
75,160,15
76,83,13
77,43,5
78,78,34
79,70,13
80,150,11
81,5173,6
82,151,9
83,265,10
84,22,14
85,34,6
86,33,13
87,52,12
88,160,8
89,27,10
90,91,18
91,75,12
92,397,9
93,45,10
94,17,9
95,66,11
96,59,6
97,57,9
98,65,10
99,18,5
100,20,6
101,39,17
102,471,21
103,523,12
104,37,15
105,102,10
106,26,8
107,54,9
108,76,6
109,142,27
110,28,9
111,78,13
112,51,7
113,331,15
114,79,12
115,142,12
116,241,15
117,38,9
118,57,4
119,130,6
120,132,10
121,176,6
122,22,10
123,347,16
124,133,21
125,20,8
126,32,13
127,320,5
128,56,11
129,72,17
130,543,4
131,43,5
132,43,8
133,70,7
134,51,8
135,74,12
136,46,16
137,34,11
138,24,8
139,155,11
140,170,18
141,70,26
142,331,7
143,402,9
144,32,10
145,58,6
146,46,11
147,165,14
148,28,9
149,70,16
150,30,13
151,51,17
152,12,18
153,41,7
154,334,7
155,74,14
156,412,12
157,22,5
158,111,11
159,167,10
160,112,7
161,107,4
162,428,5
163,115,16
164,101,5
165,8,5
166,63,8
167,719,37
168,132,7
169,48,10
170,16,5
171,247,12
172,66,5
173,80,15
174,148,10
175,101,15
176,25,21
177,218,9
178,35,9
179,43,7
180,71,6
181,19,13
182,135,12
183,49,12
184,498,20
185,175,12
186,29,11
187,99,10
188,272,7
189,228,7
190,327,9
191,94,12
192,66,6
193,8,14
194,96,10
195,24,14
196,455,10
197,105,38
198,26,8
199,105,14
200,50,7
201,78,9
202,33,12
203,7,8
204,51,7
205,78,9
206,441,6
207,294,7
208,110,6
209,125,14
210,158,9
211,13,8
212,152,13
213,109,13
214,15,10
215,54,15
216,65,9
217,42,9
218,63,7
219,197,12
220,12,7
221,13,9
222,21,10
223,123,19
224,94,6
225,106,11
226,32,8
227,74,9
228,99,7
229,118,10
230,110,22
231,50,7
232,93,11
233,126,20
234,259,8
235,18,8
236,56,18
237,29,8
238,207,19
239,39,5
240,19,9
241,323,6
242,33,6
243,37,4
244,267,10
245,952,5
246,150,11
247,100,9
248,265,7
249,38,9
250,43,8
251,23,9
252,90,14
253,138,6
254,36,8
255,51,11
256,247,11
257,777,13
258,59,9
259,154,7
260,69,6
261,205,10
262,32,7
263,126,10
264,13,4
265,529,12
266,37,7
267,68,10
268,39,7
269,34,20
270,815,6
271,17,18
272,30,12
273,253,10
274,186,14
275,41,5
276,24,9
277,59,12
278,66,12
279,243,7
280,37,5
281,32,7
282,72,14
283,18,9
284,120,6
285,63,13
286,62,11
287,96,12
288,139,6
289,39,9
290,95,6
291,81,11
292,47,22
293,143,15
294,199,40
295,52,16
296,82,3
297,33,8
298,61,7
299,52,11
300,57,11
301,70,5
302,149,12
303,272,9
304,52,7
305,542,6
306,57,13
307,25,8
308,36,12
309,20,22
310,19,8
311,283,6
312,53,12
313,10,5
314,87,8
315,18,5
316,265,12
317,63,7
318,172,13
319,122,12
320,23,11
321,61,10
322,10,12
323,218,5
324,71,8
325,92,13
326,42,5
327,80,6
328,18,16
329,189,11
330,83,9
331,214,9
332,23,4
333,172,7
334,67,8
335,13,4
336,55,11
337,41,17
338,154,7
339,28,9
340,36,3
341,402,9
342,182,6
343,49,9
344,154,4
345,199,9
346,8,5
347,65,6
348,141,8
349,39,17
350,457,9
351,672,16
352,203,10
353,19,12
354,155,42
355,259,7
356,18,7
357,16,7
358,42,9
359,506,9
360,36,7
361,113,10
362,33,32
363,78,6
364,96,5
365,323,8
366,148,4
367,34,14
368,272,6
369,151,10
370,38,6
371,41,14
372,57,6
373,44,10
374,45,14
375,35,8
376,184,12
377,117,4
378,30,11
379,90,5
380,165,15
381,91,5
382,103,13
383,360,8
384,110,21
385,82,4
386,65,6
387,28,9
388,87,12
389,29,10
390,33,7
391,27,8
392,267,11
393,57,9
394,162,8
395,33,8
396,35,12
397,533,8
398,72,25
399,41,11
400,36,8
401,45,10
402,42,10
403,31,10
404,60,5
405,22,13
406,127,12
407,294,11
408,49,12
409,31,8
410,51,7
411,10,6
412,233,19
413,150,9
414,23,5
415,105,14
416,211,8
417,153,7
418,46,13
419,229,5
420,39,10
421,15,8
422,22,10
423,49,13
424,56,11
425,42,8
426,18,8
427,64,12
428,10,4
429,32,10
430,122,8
431,92,5
432,8,5
433,22,9
434,88,9
435,153,11
436,23,5
437,976,9
438,99,10
439,15,8
440,217,21
441,119,9
442,121,8
443,40,14
444,26,8
445,35,10
446,154,9
447,17,6
448,221,8
449,25,7
450,74,11
451,46,14
452,123,4
453,149,6
454,500,12
455,69,9
456,55,7
457,199,12
458,197,7
459,147,6
460,254,17
461,90,18
462,105,15
463,54,11
464,97,17
465,170,12
466,90,13
467,302,7
468,11,14
469,21,11
470,58,21
471,110,7
472,58,17
473,605,8
474,62,7
475,69,9
476,52,11
477,183,11
478,10,8
479,229,8
480,19,10
481,87,6
482,97,6
483,38,22
484,43,12
485,731,12
486,72,11
487,80,6
488,51,9
489,210,7
490,91,7
491,38,16
492,50,18
493,62,13
494,45,27
495,63,11
496,151,10
497,84,10
498,22,11
499,276,10
